open,high,low,close,lowerlow,m_lowerlow
19586.74656264281,19646.8,19578.3,19610.575,0.0,0
19598.6607813214,19624.7,19464.0,19550.6,0.0,0
19574.6303906607,19586.2,19426.3,19511.4,0.0,0
19543.01519533035,19556.9,19477.3,19514.45,0.0,0
19528.732597665174,19537.7,19482.6,19514.15,0.0,0
19521.441298832586,19577.0,19521.441298832586,19545.375,0.0,0
19533.408149416293,19556.6,19503.7,19531.5,0.0,0
19532.45407470815,19544.6,19510.7,19526.85,0.0,0
19529.652037354077,19598.2,19523.8,19559.325000000004,0.0,0
19544.48851867704,19588.0,19529.5,19559.675000000003,0.0,0
19552.08175933852,19582.1,19534.8,19553.25,0.0,0
19552.66587966926,19589.9,19552.66587966926,19568.25,0.0,0
19560.457939834632,19568.2,19515.0,19549.45,0.0,0
19554.95396991732,19595.8,19536.0,19560.925,0.0,0
19557.93948495866,19570.0,19524.0,19550.45,0.0,0
19554.19474247933,19554.19474247933,19506.4,19529.475,0.0,0
19541.834871239666,19541.834871239666,19507.8,19518.575,0.0,0
19530.204935619837,19628.3,19513.2,19566.4,0.0,0
19548.30246780992,19723.7,19548.30246780992,19639.075,0.0,0
19593.68873390496,19655.7,19593.68873390496,19627.2,0.0,0
19610.44436695248,19636.1,19590.3,19616.325,0.0,0
19613.38468347624,19678.0,19594.4,19643.075,0.0,0
19628.22984173812,19719.7,19607.8,19655.475,0.0,0
19641.852420869054,19641.852420869054,19577.9,19601.225,0.0,0
19621.53871043453,19621.53871043453,19520.0,19564.25,0.0,0
19592.894355217264,19592.894355217264,19536.3,19553.925000000003,0.0,0
19573.409677608637,19573.409677608637,19531.2,19546.55,0.0,0
19559.97983880432,19559.97983880432,19533.9,19543.875,0.0,0
19551.92741940216,19551.92741940216,19500.1,19523.425,0.0,0
19537.67620970108,19537.67620970108,19480.1,19508.125,0.0,0
19522.90060485054,19535.4,19502.2,19519.375,0.0,0
19521.13780242527,19551.6,19513.9,19529.05,1.0,1
19525.093901212636,19544.6,19517.0,19533.375,0.0,0
19529.23445060632,19560.0,19529.23445060632,19547.175,0.0,0
19538.20472530316,19593.0,19538.20472530316,19567.275,0.0,0
19552.73986265158,19626.9,19552.73986265158,19588.95,0.0,0
19570.844931325788,19608.6,19565.6,19592.7,0.0,0
19581.772465662893,19600.9,19546.4,19571.975,0.0,0
19576.87373283145,19588.9,19552.6,19564.25,0.0,0
19570.561866415723,19635.0,19562.9,19587.975,0.0,0
19579.26843320786,19601.3,19579.26843320786,19590.2,0.0,0
19584.73421660393,19615.3,19576.2,19595.7,0.0,0
19590.217108301964,19662.5,19590.217108301964,19621.175,0.0,0
19605.696054150983,19623.6,19583.4,19605.225,0.0,0
19605.46052707549,19628.3,19599.9,19608.675,0.0,0
19607.067763537743,19629.9,19590.1,19610.1,0.0,0
19608.58388176887,19718.7,19608.58388176887,19667.175,0.0,0
19637.879440884437,19848.0,19637.879440884437,19773.0,0.0,0
19705.439720442217,19870.0,19705.439720442217,19826.725,0.0,0
19766.08236022111,19910.0,19766.08236022111,19859.325,0.0,0
19812.70368011056,19935.0,19812.70368011056,19883.050000000003,0.0,0
19847.87684005528,19930.0,19847.87684005528,19898.65,0.0,0
19873.26342002764,19969.5,19873.26342002764,19938.925,0.0,0
19906.09421001382,20159.3,19906.09421001382,20033.35,0.0,0
19969.72210500691,20102.0,19885.0,19996.05,0.0,0
19982.88605250345,19990.8,19920.6,19945.825,0.0,0
19964.35552625173,19964.35552625173,19845.2,19902.425,0.0,0
19933.39026312586,19938.4,19805.4,19868.375,0.0,0
19900.88263156293,19909.5,19812.0,19870.175,0.0,0
19885.528815781465,19978.2,19885.528815781465,19937.2,0.0,0
